Week,Fascia_1,Fascia_2,Fascia_3,Fascia_4,Fascia_5,Fascia_6,Fascia_7,Fascia_8
1,0,0,0,0,0,0,0,464247
2,0,0,0,0,0,0,0,435912
3,0,0,0,0,0,0,0,507483
4,0,0,0,0,0,0,0,397048
5,0,0,0,0,0,0,0,503483
6,0,0,0,0,0,0,0,585308
7,0,0,0,0,0,0,0,1184550
8,0,0,0,0,0,0,3478,1119518
9,0,0,0,0,0,0,97938,963429
10,0,0,0,0,0,0,559208,339582
11,0,0,0,0,0,0,853347,767068
12,0,0,0,0,0,0,18967,722470
13,0,0,0,0,0,0,756852,924193
14,0,0,0,0,0,2784,2628935,186348
15,0,0,0,0,0,32630,1524164,7575
16,0,0,0,0,0,821094,956081,0
17,0,0,0,0,0,1787739,676568,0
18,0,0,0,0,15614,2652679,2333989,0
19,0,0,0,0,282041,1694805,670817,0
20,0,0,0,0,606237,1231815,940592,0
21,0,0,0,0,957232,1918853,17650,0
22,0,0,0,0,255917,2667107,0,0
23,0,0,0,75004,4446538,1662175,0,0
24,0,0,0,458644,2725946,410721,0,0
25,0,0,0,1594298,2129774,207358,0,0
26,0,0,10641,4023872,337769,17212,0,0
27,0,85073,800,1075958,4164497,0,0,0
28,0,75643,0,1181190,2119709,0,0,0
29,0,0,0,1470023,1172542,0,0,0
30,0,156661,9041,3063119,89266,0,0,0
31,0,5072,821549,1545447,0,0,0,0
